,active_sw,age,bats,birth_city,birth_country,birth_date,birth_state,college,death_city,death_country,death_date,death_state,end_date,file_code,gender,height_feet,height_inches,high_school,jersey_number,name_display_first_last,name_display_first_last_html,name_display_last_first,name_display_last_first_html,name_display_roster,name_display_roster_html,name_first,name_full,name_last,name_matrilineal,name_middle,name_nick,name_prefix,name_title,name_use,player_id,primary_position,primary_position_txt,primary_sport_code,primary_stat_type,pro_debut_date,start_date,status,status_code,status_date,team_abbrev,team_code,team_id,team_name,throws,twitter_id,weight
331,N,49,S,Wilmington,USA,1970-08-16T00:00:00,NC,Duke,,,,,2006-07-14T00:00:00,cin,M,5,8,"South Brunswick, Southport, NC",30,Quinton McCracken,Quinton McCracken,"McCracken, Quinton","McCracken, Quinton",McCracken,McCracken,Quinton,"McCracken, Quinton",McCracken,,Antoine,,,,Quinton,118609,8,CF,mlb,hitting,1995-09-17T00:00:00,2006-02-14T00:00:00,Released,RL,2006-02-14T00:00:00,CIN,cin,113,Cincinnati Reds,R,,185
332,N,49,R,Tokyo,Japan,1970-01-21T00:00:00,,San Jacinto College,,,,,2000-01-01T00:00:00,hou,M,6,7,"St. Thomas, Houston, TX",47,Jeff McCurry,Jeff McCurry,"McCurry, Jeff","McCurry, Jeff",McCurry,McCurry,Jeffrey,"McCurry, Jeff",McCurry,,Dee,,,,Jeff,118623,1,P,mlb,pitching,1995-05-06T00:00:00,1998-03-31T00:00:00,Waived,WA,1998-03-31T00:00:00,HOU,hou,117,Houston Astros,R,,210
333,N,51,L,Port Arthur,USA,1967-10-01T00:00:00,TX,,,,,,2001-11-05T00:00:00,sd,M,6,0,"Abraham Lincoln, Port Arthur, TX",43,Chuck McElroy,Chuck McElroy,"McElroy, Chuck","McElroy, Chuck",McElroy,McElroy,Charles,"McElroy, Chuck",McElroy,,Dwayne,,,,Chuck,118660,1,P,mlb,pitching,1989-09-04T00:00:00,2001-07-23T00:00:00,Free agent,FA,2001-07-23T00:00:00,SD,sdn,135,San Diego Padres,L,,205
334,Y,33,L,San Jose,USA,1986-08-06T00:00:00,CA,,,,,,,col,M,6,4,"Edward C Reed, Sparks, NV",51,Jake McGee,Jake McGee,"McGee, Jake","McGee, Jake",McGee,McGee,Jacob,"McGee, Jake",McGee,,Daniel,Mac Cheez,,,Jake,459429,1,P,mlb,pitching,2010-09-14T00:00:00,2017-12-15T00:00:00,Active,A,2019-05-17T00:00:00,COL,col,115,Colorado Rockies,L,@McGeeMcNally,237
335,Y,32,R,Napierville,USA,1987-06-19T00:00:00,IL,"Berry, GA",,,,,,hou,M,6,2,"Providence Christian Academy, Lilburn, GA",31,Collin McHugh,Collin McHugh,"McHugh, Collin","McHugh, Collin",McHugh,McHugh,Collin,"McHugh, Collin",McHugh,,Alexander,12-6,,,Collin,543521,1,P,mlb,pitching,2012-08-23T00:00:00,2013-12-18T00:00:00,Active,A,2019-06-24T00:00:00,HOU,hou,117,Houston Astros,R,@Collin_McHugh,190
336,N,47,R,Wilson,USA,1972-01-17T00:00:00,NC,,Statonsburg,USA,2019-01-01T00:00:00,NC,2002-10-03T00:00:00,col,M,6,2,"Greene Central, Snow Hill, NC",26,Walt McKeel,Walt McKeel,"McKeel, Walt","McKeel, Walt",McKeel,McKeel,Walt,"McKeel, Walt",McKeel,,Thomas,,,,Walt,118771,2,C,mlb,hitting,1996-09-14T00:00:00,2001-11-20T00:00:00,Free agent,FA,2001-11-20T00:00:00,COL,col,115,Colorado Rockies,R,,200
337,Y,34,R,Knoxville,USA,1985-03-04T00:00:00,TN,Middle Tennessee State,,,,,2017-04-01T00:00:00,tb,M,5,10,"Farragut, Knoxville, TN",9,Michael McKenry,Michael McKenry,"McKenry, Michael","McKenry, Michael",McKenry,McKenry,Michael,"McKenry, Michael",McKenry,,Charles,,,,Michael,502374,2,C,mlb,hitting,2010-09-08T00:00:00,2016-12-22T00:00:00,NRI,NRI,2016-12-22T00:00:00,TB,tba,139,Tampa Bay Rays,R,@theFortMcKenry,205
338,Y,24,L,Yorba Linda,USA,1994-12-14T00:00:00,CA,,,,,,,col,M,6,2,"Mater Dei, Santa Ana, CA",24,Ryan McMahon,Ryan McMahon,"McMahon, Ryan","McMahon, Ryan",McMahon,McMahon,Ryan,"McMahon, Ryan",McMahon,,Patrick,Ry Mac,,,Ryan,641857,4,2B,min,hitting,2017-08-12T00:00:00,2017-08-11T00:00:00,Active,A,2019-04-18T00:00:00,COL,col,115,Colorado Rockies,R,@Ry_McMahon,208
339,N,51,S,Bradenton,USA,1967-08-27T00:00:00,FL,,,,,,2000-03-29T00:00:00,stl,M,6,0,"Manatee, Bradenton, FL",56,Brian McRae,Brian McRae,"McRae, Brian","McRae, Brian",McRae,McRae,Brian,"McRae, Brian",McRae,,Wesley,,,,Brian,118871,8,CF,mlb,hitting,1990-08-07T00:00:00,2000-02-03T00:00:00,Reassigned,RM,2000-02-03T00:00:00,STL,sln,138,St. Louis Cardinals,R,,185
340,N,47,R,Hato Mayor del Rey,Dominican Republic,1972-04-14T00:00:00,,,,,,,1997-12-31T00:00:00,stl,M,5,10,,,Roberto Mejia,Roberto Mejia,"Mejia, Roberto","Mejia, Roberto",Mejia,Mejia,Roberto,"Mejia, Roberto",Mejia,Diaz,Antonio,,,,Roberto,118925,4,2B,mlb,hitting,1993-07-15T00:00:00,1997-01-01T00:00:00,Active,A,1997-01-01T00:00:00,STL,sln,138,St. Louis Cardinals,R,,180
